Restaurant Name,City,Locality,Cuisines,Price range,Aggregate rating,Votes,Has Table booking,Has Online delivery,Match Score,Why Recommended
Peshawari,New Delhi,Pitampura,North Indian,2,3.6,79,No,No,60.0,Cuisine/location similarity • Price range 2 • Rating 3.6
The Taste of Delhi,New Delhi,Pitampura,North Indian,2,3.3,128,No,Yes,59.6,Cuisine/location similarity • Price range 2 • Rating 3.3
Chowki,New Delhi,Kalkaji,North Indian,2,3.7,89,No,Yes,59.5,Cuisine/location similarity • Price range 2 • Rating 3.7
New Shere Punjab Dhaba,New Delhi,Kalkaji,North Indian,2,3.6,91,No,No,59.3,Cuisine/location similarity • Price range 2 • Rating 3.6
Gulshan,New Delhi,Shahdara,North Indian,2,3.3,25,No,No,58.8,Cuisine/location similarity • Price range 2 • Rating 3.3
Chacha Shankar,New Delhi,Pitampura,North Indian,2,3.2,29,No,No,58.7,Cuisine/location similarity • Price range 2 • Rating 3.2
Paramjeet Fish & Chicken Point,New Delhi,Shahdara,North Indian,2,3.1,15,No,No,58.1,Cuisine/location similarity • Price range 2 • Rating 3.1
Satvik Rasoi,New Delhi,Rohini,North Indian,2,3.8,31,No,Yes,58.0,Cuisine/location similarity • Price range 2 • Rating 3.8
Puran Chand,New Delhi,Pitampura,North Indian,2,2.6,48,No,Yes,57.7,Cuisine/location similarity • Price range 2 • Rating 2.6
Dhaba Cash 'N' Carry Kitchen,New Delhi,Mahipalpur,North Indian,2,3.1,16,No,No,57.6,Cuisine/location similarity • Price range 2 • Rating 3.1
